,Wavelength(nm),Photon E(eV),B-Field(G),B-Field Orientation,Events(MeV),Raw Events(MeV),Power Drop,Power Drop Err,Asym Diff,Asym Diff Err,QWP Pos
96329,1051.0,1.179638439581351,2750.0,LF,442.7,617.3,0.30833726114679566,0.0006479808138865455,-0.0005071234784888301,0.00014188960295240648,0.0
96343,1054.0,1.176280834914611,2750.0,LF,429.2,597.8,0.30649571853197993,0.0006585819271620662,-0.0008668954048691169,0.00014387321910180225,0.0
96362,1048.0,1.1830152671755725,2750.0,LF,442.2,616.1,0.3029952716437375,0.0006504512778004691,-0.0003175889809104854,0.00014192042628179217,0.0
96383,1060.0,1.169622641509434,2750.0,LF,446.5,621.9,0.27854763609844346,0.0006375914555224984,-0.00033437387718110445,0.00014122807245940856,0.0
96397,1052.5,1.177957244655582,2750.0,LF,442.2,616.0,0.30676545256509974,0.0006407856525045253,-0.0005359893182597386,0.00014154676772018147,0.0
96411,1055.5,1.174609189957366,2750.0,LF,441.5,615.0,0.30532530689794357,0.0006427037433160155,-0.0002103045792657826,0.00014184207095087128,0.0
96430,1049.5,1.1813244402096237,2750.0,LF,441.8,615.5,0.28625231194335754,0.0006470314685154984,-0.00019143612111013897,0.00014227532665099234,0.0
96445,1017.4,1.2185964222528012,2750.0,LF,442.4,616.3,0.30426533237534914,0.000646368146121695,-0.00015278682227527762,0.00014175410187394958,0.0
96458,1028.34,1.2056323783962504,2750.0,LF,442.3,616.1,0.3035025935551097,0.0006474228983167656,-0.0003638606205970396,0.0001419355111808504,0.0
96478,1034.7,1.1982217067749106,2750.0,LF,453.5,631.7,0.2964948348011465,0.0006386311732193866,-1.995961886305797e-05,0.00014040095621498,0.0
96495,1041.4,1.1905127712694448,2750.0,LF,441.9,615.6,0.30061396358771963,0.0006471107840797297,-0.0005291791593405037,0.00014223217319625888,0.0
96511,1054.0,1.176280834914611,2750.0,LF,452.2,630.1,0.30526230865609827,0.0006411146542213135,0.00034887323803617365,0.0001404844731207297,1.0
96527,1051.0,1.179638439581351,2750.0,LF,443.2,617.6,0.3021455093735301,0.0006485965427460461,0.0002130514099434183,0.00014192897079449824,1.0
96542,1052.5,1.177957244655582,2750.0,LF,441.8,615.6,0.3105890118856662,0.0006511680900304252,8.22315962456105e-05,0.00014216376078799548,1.0
96587,1059.9,1.1697329936786487,2750.0,LF,442.9,617.1,0.28371961385299777,0.000649064915676179,5.9782117256268474e-05,0.0001425087389323003,1.0
96605,1034.7,1.1982217067749106,2750.0,LF,442.9,617.2,0.3237678786583243,0.0006523565521560983,-0.00010046299218555155,0.0001419613761569842,1.0
96624,1049.5,1.1813244402096237,2750.0,LF,308.5,429.8,0.3075073517993303,0.000782842257798476,-1.4305718978369075e-05,0.00017022382032377812,1.0
96635,1041.4,1.1905127712694448,2750.0,LF,271.1,378.0,0.309274710719751,0.0008366399891210186,-0.00017208264529104678,0.0001815931309558052,1.0
